UID,other_commodities
gold-mining-and-mercury-pollution-suriname,Mercury
europa-city,Building services
europa-city,hotels.
pantanos-de-villa,Industrial products manufactured in protected area
haw-river-and-jordan-lake-water-contamination,PFAs
lithium-project-in-jadar-and-radjevina,Borate
battery-metals-from-nornickel-ar,Nickel
janakalyan-community-forest-user-group,Forest resources (fuel-wood
janakalyan-community-forest-user-group,fodder
janakalyan-community-forest-user-group,leaf-litter etc )
stuttgart-21-project-germany,Transportation Services
dongling-lead-and-zinc-smelting-co-fengxiang-shaanxi-china,Cadmium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,Polonium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,benzapyrene
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,hydrogen fluorine
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,lead salt
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,thallium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,mercury diethyl
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,plutonium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,tellurium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility, hydrogen cyanide
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,phenol
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,chloroform
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,sulphuric acid
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,selenium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,hydrogen sulphide
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,barium
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,formaldehyde
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,antimony
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,vinyl benzene
richards-bay-minerals-dune-mining-south-africa,Ilmenite
richards-bay-minerals-dune-mining-south-africa,Rutile And Zircon
sport-and-recreation-center-svetice-croatia,Sport infrastructure
contaminacion-de-industria-porcicola-pronaca-en-tsachilas,Porcicultura
nuclear-storage-facilities-in-gorleben-germany,Nuclear waste
mavoor-gwalior-rayons-factory,Bamboo
mavoor-gwalior-rayons-factory,Viscose
mavoor-gwalior-rayons-factory,Wood Pulp
controversy-over-suixi-gcl-solar-power-project-in-zhanjiang-guangdong-china,solar power
songjiang-battery-projectchina,Battery cells and packs
local-populations-from-niafourang-opposing-zircon-mining-senegal,Zircon mineral
quifel-agribusiness-agrofuels-or-foodcrop-projects-in-port-loko-sierra-leone,Cassava
los-impactos-socioambientales-del-complejo-refinador-paraguana,Coque de petróleo (petcoke)
dairi-lead-zinc-project-in-indonesia,Silver 
intentions-of-exploration-of-nickel-ore-in-mokra-gora-serbia,Nickel
lt-farm-land-of-guinea-soy-and-corn-development-in-faranah-region-guinea,Pulses
kaolin-mining-by-mibal-company-braga-portugal,Kaolin ( Other Names: Argile de Chine
kaolin-mining-by-mibal-company-braga-portugal,Argilla
kaolin-mining-by-mibal-company-braga-portugal,Bolus Alba
kaolin-mining-by-mibal-company-braga-portugal,Caolín
kaolin-mining-by-mibal-company-braga-portugal,China Clay
kaolin-mining-by-mibal-company-braga-portugal,Heavy Kaolin
kaolin-mining-by-mibal-company-braga-portugal,Hydrated Aluminum Silicate
kaolin-mining-by-mibal-company-braga-portugal,Kaolin Léger
kaolin-mining-by-mibal-company-braga-portugal,Kaolin Lourd
kaolin-mining-by-mibal-company-braga-portugal,Light Kaolin
kaolin-mining-by-mibal-company-braga-portugal,Porcelain Clay
kaolin-mining-by-mibal-company-braga-portugal,Silicate d’aluminium hydraté
kaolin-mining-by-mibal-company-braga-portugal,Terre à Porcelaine
kaolin-mining-by-mibal-company-braga-portugal,White Bole)
mont-saint-michel,Wind turbines
fertiliser-plant-blast-in-toulouse-france,Fertilisers
thai-waste-pickers-livelihoods-threatened-by-continued-waste-imports,Plastic / carton
polish-farmers-protest-poland,Agricultural products
land-grabbing-for-agro-business-by-senegindia-sarl-community-of-diokoul-senegal,Potatoes
belinga-iron-ore-mine-and-belinga-dam-gabon,Manganese
wastepickers-face-better-conditions-due-to-international-cooperation-efforts-in-north-eastern-jordan,Plastic
wastepickers-face-better-conditions-due-to-international-cooperation-efforts-in-north-eastern-jordan,Textile
banana-plantations-and-logging-in-mount-apo-natural-park-near-magpet-cotabato-mindanao,Banana
mayor-proyecto-de-explotacion-de-niobio-en-el-mundo-en-el-municipio-de-araxa-mg,Monazite
hilco-distribution-facility-replaces-coal-fired-generating-station-little-village-chicago-us,Products for delivery
planned-industrial-waste-pipeline-project-of-oji-paper-in-qidong-jiangsu-china,paper
illegal-unreported-and-unregulated-fishing-iuu-by-chinese-fleet-in-galapagos-islands,Squid
rio-tinto-qmm-ilmenite-mine-madagascar,"Ilmenite
Zirconium"
gabes-phosphate-fertilizers-plants-of-the-tunisian-chemical-group,Phosphate fertilizer; Phosphate
great-pacific-garbage-patch,Plastic; marine debris
proyecto-nueva-union-huasco-chile,Molibdeno
wtr-ranobe-forest-mining-madagascar,Ilmenite
wtr-ranobe-forest-mining-madagascar,"zircon and rutile
zircon  
leucoxene"
los-chocoyos,Cobalt
los-chocoyos,chrome
los-chocoyos,antimonium
permanent-repository-for-lilw-nuclear-waste-slovenia,Nuclear Waste
lead-smelter-in-zajaca-serbia,Antimony
sewa-paper-mill-in-gangapur-orissa-india,Paper Mill 
grassy-narrows-logging-conflict-ont-canada,Mercury
portoalegres-driver-runs-over-cyclists-protesting-in-the-critical-mass,Disproportionate use of urban space by cars. The commodity casing the conflict is cars
portoalegres-driver-runs-over-cyclists-protesting-in-the-critical-mass,and urban planning at the service of the cars.
dou-cancer-village-near-jiaozishan-landfill-and-incinerators-in-jiangsu-province-china,Medical and construction waste
chinese-uranium-mine-invades-nigers-traditional-pastoral-territory,Salt
aerial-fumigations-and-plan-colombia-ecuador,Glyphosate
aerial-fumigations-and-plan-colombia-ecuador,Coca
deep-sea-mining-svalbard-archipelago-arctic-norway,scandium
villeranges-gold-mine,antimony
villeranges-gold-mine,tin
villeranges-gold-mine,tungsten
lake-turkana-wind-power-project-kenya,Wind
puerto-de-tribuga-choco-colombia,Construcción de un puerto multiproposito de aguas profundas
world-heritage-at-risk-in-the-palestinian-village-of-battir,Olives
economic-woes-plastic-packaging-and-children-wastepickers-in-tehrans-dirt-gold-mafia-iran,Plastic
a-wall-around-roma-settlement-to-protect-from-noise-krusevac-serbia,No specific commodity in this case. Rather a built segregation wall  against Roma
controversy-over-planned-paraxylene-px-plant-expansion-in-ningbo-zhejiang-china,Paraxylene
opposing-paraxylene-px-plant-in-the-petrochina-10-million-tons-year-refinery-project-anning-kunming-yunnan-china,PX - paraxylene
opposing-paraxylene-px-plant-in-the-petrochina-10-million-tons-year-refinery-project-anning-kunming-yunnan-china,gasoline
kevitsa-mine-lapland-finland,Nickel
kevitsa-mine-lapland-finland,Cobalt
kevitsa-mine-lapland-finland,Platinum
kevitsa-mine-lapland-finland,and Palladium
afectacion-de-comunidades-indigenas-yanomami-de-la-cuenca-del-rio-ocamo-por-mineria-ilegal,Mercury
loma-miranda-ferronickel-mine-dominican-republic,Ferro-nickel
ordination-of-trees-a-peculiar-form-of-mobilization-from-sri-lanka,Banana
indonesia-weda-bay-industrial-park-iwip-north-maluku-indonesia,Nickel
ambatovy-mining-project-madagascar,Nickel
ambatovy-mining-project-madagascar,Cobalt
ambatovy-mining-project-madagascar,Ammonium Sulphate Fertilizer
kolwezi-ecological-and-sanitary-disaster,Cobalt
ringaskiddy-incinerator,Hazardous Waste
daimiel-natural-park-and-agriculture-spain,Other agricultural products
tourism-development-in-marsa-alam-and-disenfrenchisement-of-local-indigenous-community,Phosphate
finike-marble-and-stone-quarries-turkey,Marble
ipilan-nickel-mine-in-palawan-philippines,Nickel
tectona-monoculture-tree-plantations-mozambique,Teak
movement-against-the-location-of-the-vasco-da-gama-bridge-lisboa,Transport services
fishmeal-pollution-in-chimbote-peru,Fishmeal
nuclear-waste-contamination-from-mayak-plutonium-plant-russia,Plutonium
nuclear-waste-contamination-from-mayak-plutonium-plant-russia,nuclear waste
harris-superquarry-scotland-uk,Stones
olive-plantation-on-krk-island-croatia,Olive trees
las-coloradas,Molybdenum
la-oroya-peru,Selenium
la-oroya-peru,bismuth
la-oroya-peru,antimony
la-oroya-peru,etc
metallic-mining-moratorium-in-romblon-philippines,Marble
gach-black-sand-mining-in-sanyang-the-gambia,Zircon
medical-waste-disposal-plant-bielsko-biala-silesia-poland,Medical and veterinary waste
greenham-common-womens-peace-camp-eliminate-nuclear-missiles-in-berkshire-england,Nuclear weapons
gyama-mine-landslide-in-tibet,molybdenum
mining-and-transportation-of-uranium-ore-at-port-radium-northwestern-territories-and-its-impacts-on-the-local-deline-first-nation-community-who-worked-there,Radium
the-park-is-ours-banja-luka-bosnia-and-herzegovina,green space
4,hospital waste 
carretera-m-501-madrid-spain,Acceso rodado a una zona de alto valor natural y paisajístico para favorecer su desarrollo urbanístico
tahltan-nation-v-fortune-minerals-bc-canada,Anthracite Coal
brewery-project-destroying-jhinkargadi-forest-in-balarampur-village-odisha-india,Forest preserved by local community for 4 decades
protests-against-polluting-factories-in-huaxi-dongyang-zhejiang-china,Trifluralin
protests-against-polluting-factories-in-huaxi-dongyang-zhejiang-china,ammonium bifluoride
protests-against-polluting-factories-in-huaxi-dongyang-zhejiang-china,Tricyclazole
protests-against-polluting-factories-in-huaxi-dongyang-zhejiang-china,etc.
pigneto-lake-of-rome,urban park
windscale-sellafield-uk,Plutonium
agricultural-land-investment-deal-in-djidja-benin,Manioc
rights-of-nature-new-zealand,Eel
al-khorayef-group-plans-for-soy-in-chaco-argentina,Infrastructure (Roads
al-khorayef-group-plans-for-soy-in-chaco-argentina,Electricity
al-khorayef-group-plans-for-soy-in-chaco-argentina,Irrigation)
al-khorayef-group-plans-for-soy-in-chaco-argentina,Sorghum
quebradeiras-de-coco-babacu-against-agribusiness-and-the-enclosure-of-their-lands-maranhao-brazil,Babassu
la-hague-center-of-the-reprocessing-of-nuclear-waste-france,plutonium 
los-pelambres-comunidad-los-caimanes-chile,Molibdeno
panantza-san-carlos-ecuador,Molibdeno
minera-autlan-mexico,Manganese
animal-husbandry-pollution-of-huangpu-river-shanghai-china,dead animals
agua-rica-andalgala-catamarca-argentina,Molybdenum
klabin-plantations-brazil,Paper And Cardboard
waste-gas-based-cogeneration-project-egypt,Carbon Black
shells-quest-hydrogen-ccs-in-fort-saskatchewan-alberta-canada,"Tar sands
Hydrogen"
trans-tasman-resources-limited-ttr-iron-sand-mining-within-the-south-taranaki-bight-new-zealand,Ilmenite
trans-tasman-resources-limited-ttr-iron-sand-mining-within-the-south-taranaki-bight-new-zealand,zircon
trans-tasman-resources-limited-ttr-iron-sand-mining-within-the-south-taranaki-bight-new-zealand,rutile
trans-tasman-resources-limited-ttr-iron-sand-mining-within-the-south-taranaki-bight-new-zealand,garnet
norilsk-russias-most-polluted-city,Nickel
norilsk-russias-most-polluted-city,palladium
norilsk-russias-most-polluted-city,platinum
norilsk-russias-most-polluted-city,cobalt
formosa-toxic-waste-spill-and-plastic-pollution-in-lavaca-bay-texas-united-states,Plastics
biomass-power-plant-pecs-hungary,Wood
biomass-power-plant-pecs-hungary,Energy Crops
biomass-power-plant-pecs-hungary,Agricultural Residues
biomass-power-plant-pecs-hungary,Straw
stone-forestal,Paper pulp
illegal-falcon-trade-in-syria,Falcons
paz-del-rio-boyaca-colombia,Limestone
terminale-galleggiante-per-la-rigassificazione-di-gnl-di-livorno,Des pierres
braslovce-highway-plan-slovenia,Transport services
construction-of-a-highway-over-a-radioactive-waste-disposal-site-in-a-souther-region-of-moscow,Radium
construction-of-a-highway-over-a-radioactive-waste-disposal-site-in-a-souther-region-of-moscow,Thorium 
construction-of-a-highway-over-a-radioactive-waste-disposal-site-in-a-souther-region-of-moscow,Radon
elk-valley-coal-mines-selenium-pollution,Selenium
parque-eolico-jepirachi-colombia,Energía Eólica
mining-sacred-kushtau-hill-russia,Limestone
kalkar-a-bad-joke-germany,Nuclear waste
sierra-de-la-ventana-argentina,Materiales Pétreos
india-basin-mixed-use-development-project-in-bayview-hunters-point,Housing
india-basin-mixed-use-development-project-in-bayview-hunters-point,Parkland
citadel-capital-concord-irrigated-crops-in-unity-state-south-sudan,Sunflower
citadel-capital-concord-irrigated-crops-in-unity-state-south-sudan,Sorgum
diamond-alkali-superfund-site-dioxin-pollution-in-passaic-river,"Tetrachlorodibenzo-p-dioxin (TCDD)
Dichlorodiphenyltrichloroethane (DDT)"
kirtland-air-force-base-jet-fuel-leak,jet fuel
shrinking-of-swietokrzyski-national-park-in-the-interest-of-the-catholic-church-poland,Religious services
carnegie-zircon-mining-the-gambia, Beach sand minerals: zircon
carnegie-zircon-mining-the-gambia,ilmenite
carnegie-zircon-mining-the-gambia,rutile
quellaveco-peru,Molybdenum
amarapura-urban-development-project-shankalay-kyun-island,Urban development
gaziemir-lead-factory-turkey,Europuim 152
unlawful-removal-of-olive-trees-and-wind-energy-project-in-karaburun-turkey,Olive Trees
opposition-against-the-building-of-primorsk-universal-loading-complex,Fertilizers
nishiyodogawa-osaka-air-pollution-and-other-damage,Pollution caused by industry and transport
dewayne-johnson-against-monsanto-trial-for-glyphosate-exposure,Herbicides
heathrow-third-runway-airport-expansion-uk,Transport Services
findikli-pasalar-regulator-and-hydroelectric-power-plant-turkey,Trees
findikli-pasalar-regulator-and-hydroelectric-power-plant-turkey,Forest
antamina-mine-peru,Molybdenum
kundil-sponge-iron-limited-londa-india,"Direct reduced iron or ""sponge iron"""
millennium-challenge-account-irrigation-projects-mali,Cereals
bayovar-vale-miski-mayo-peru,Phosphates
sateri-jiangxi-chemical-fibre-co-ltdber-co-viscose-plant-china,Viscose 
yali-falls-hydropower-dam-vietnam,Irrigation
intag-mining-junin-ecuador,Molybdenum
cementos-progreso-san-juan-sacatepequez-guatemala,Calizas
severe-water-pollution-by-meiko-electronics-plant-in-wuhan-china,"electronics
contained"" in"" production"" wastewater"" as"" well"" as"" other"" cleaning"" and"" acidic"" wastewater"
pujada-nickel-mine-on-ancestral-lands-oriental-davao-philippines,Nickel
pujada-nickel-mine-on-ancestral-lands-oriental-davao-philippines,Cobalt
scarborough-gas-project,"Ammonium Nitrate 
Fertilisers"
khibiny-mountains-platinum-and-palladium-mining-kola-peninsula-russia,"Palladium
Platinum"
rio-tunjuelo-bogota-colombia,"Gravas
Arenas
Fabricación De Cemento"
elefsina-bay,Shipyard
elefsina-bay,commercial port
elefsina-bay,ammunition manufacturing
elefsina-bay,archaeological sites
mag-lev-conflict-in-shanghai-china,Transport Services
aznalcollar-tailings-dam-failure-spain,Tailings dam failure
living-alongside-a-foxconn-plant-in-taiyuan-shanxi,electronics
heavy-metal-chromium-pollution-in-quijing-yunnan-china,Chromium
pt-south-pacific-viscose-spv-viscose-plant-indonesia,Viscose
pt-south-pacific-viscose-spv-viscose-plant-indonesia,Sulphuric Acid 
pebble-mine-in-bristol-bay-alaska-usa,Molybdenum
excessive-blood-lead-of-children-caused-by-a-battery-company-in-anhui-china,batteries
pollution-of-begejac-channel-kula-serbia,Wastewaters
shenzhou-mining-claver-mineral-development-corporation-nickel-mining-in-claver-philippines,Nickel ore
lead-poisoning-by-zeliang-battery-factory-in-qingyuan-guangdong-china,Batteries
destruction-of-the-sweetgum-forests-turkey,The Sweetgum Trees
destruction-of-the-sweetgum-forests-turkey,Forest
destruction-of-the-sweetgum-forests-turkey,Citrus Fruits
anti-gmo-mouvement-portugal,Genetically Modified Seeds Gm Maize Mon810
aggressive-seed-laws-in-ghana,Seeds
nuclear-colonialism-in-marshall-islands,Nuclear tests 
water-conflict-nestle-waters-in-vittel,Plastics
las-luchas-contra-el-mega-proyecto-del-arco-minero-del-orinoco,Coltan
mose-project-in-venetian-lagoon,flood protection
electric-crematorium-at-siliguri-west-bengal-india,Pollution due to cremation of dead bodies 
hassad-food-landgrabs-for-sheep-and-wheat-australia,Meat (Sheep)
triangulo-del-feldespato-y-mineria-a-cielo-abierto-en-avila-spain,Feldespato/Feldspars
radioactive-mine-waste-pollution-at-tudor-shaft-informal-settlement-krugersdorp-south-africa,Radioactive waste
tipnis,Coca
black-granite-mutoko-zimbabwe,Black Granite
waste-landfill-protests,Wet Waste
waste-landfill-protests,Plastic
yawal-wildlife-sanctuary-maharastra-india,bamboo
save-alappad-stop-mining,Ilmenite
save-alappad-stop-mining,Rutile
save-alappad-stop-mining,Zircon
save-alappad-stop-mining,Monazite
anti-mining-protests-and-controversies-around-the-law-with-the-long-name,Fluorspar
controversy-over-planned-paraxylene-px-plant-in-maoming-guangdong-china,paraxylene (PX) 
plutonium-production-near-native-american-reservations-usa,Plutonium
sokli-mine-finland,Phosphate
sokli-mine-finland,Niobium
sokli-mine-finland,Manganeses
sokli-mine-finland,Vermiculite
sokli-mine-finland,rare earth elements
linden-trees-in-niksic-montenegro,Urban infrastructure; Linden trees
linden-trees-in-niksic-montenegro,transport services
illegal-logging-and-the-death-of-environmentalist-chut-wutty,"rosewood
yellow vine"
waste-incineration-bielsko-biala-silesia-poland,Heat
nuclear-testing-in-newe-segobia-western-shoshone-lands-in-nevada-us,Nuclear tests
transport-corridor-vc-lot-3-bosnia-and-herzegovina,Transport services
comunidad-indigena-de-santo-tomas-vs-agricola-superior-de-jacona-michoacan-mexico,Fresas y arandanos - Strawberries and Blueberries
love-canal-niagara-falls-usa,Chemical Waste
collapse-of-wastewater-treatment-poses-a-threat-to-lives-and-livelihoods-yemen,Treatment Facilities
heinda-tin-mine-dawei-region-myanmar,Tin
heinda-tin-mine-dawei-region-myanmar,Tungsten
concesiones-mineras-dentro-del-parque-nacional-chagres,piedra caliza (limestone)
concesiones-mineras-dentro-del-parque-nacional-chagres,piedra de cantera (quarry) y arcilla (clay)
deaths-in-iron-sand-mining-west-java-indonesia,iron sand
pueblos-indigenas-arawaks-del-sur-afectados-por-mineria-ilegal-en-la-cuenca-del-rio-atabapo,Coltán
san-roque-metals-inc-nickel-mining-in-tubay-agusan-del-norte-philippines,Nickel
san-roque-metals-inc-nickel-mining-in-tubay-agusan-del-norte-philippines,cobalt
forest-logging-lithuania,Biofuel
pueblos-originarios-de-la-cuenca-de-mexico-en-contra-del-aeropuerto-internacional-de-santa-lucia,Otros materiales pétreos para construcción
strict-property-and-marketing-laws-imposed-on-seeds-in-france,Seeds
tunnel-through-the-gorica-hill-podgorica-montenegro,Infrastructure- tunnel
opposition-increases-as-canadas-federal-government-continues-to-fund-small-modular-reactor-smr-development,Plutonium
hurricane-sandy-and-low-income-residents-usa,Fair Housing Access
contaminacion-en-nobsa-colombia,Arcilla - Caliza
toroku-miyazaki-prefecture-japan,Arsenopyrite
paramo-rabanal-colombia,Coke
loma-de-hierro,Nickel
trans-pyrenean-central-corridor-spain-france,Transportation Services
eu-fishing-activities-in-madagascar,Tuna and Billfishes
mega-puerto-de-chancay,All minerals exported
aranmula-greenfield-airport-aga-project-india,Pilgrimage
conflict-at-mines,Forest products
loc-valley-cide-hydroelectric-power-plant-turkey,Different Tree Species
lucha-de-los-pueblos-laguneros-contra-la-planta-de-cianuro-de-chemours-en-durango,Cianuro
lucha-de-los-pueblos-laguneros-contra-la-planta-de-cianuro-de-chemours-en-durango,Sosa Caustica
lucha-de-los-pueblos-laguneros-contra-la-planta-de-cianuro-de-chemours-en-durango,Amoniaco
teak-forest-exploitation-south-sudan,Teak
teck-frontier-oilsands-mine,Bitumen oil
tsumeb-smelter,Smelting of concentrated copper to produce blister copper
tsumeb-smelter,sulphuric acid and arsenic trioxide.
creys-malville-france,Plutonium
the-olive-quick-decline-syndrome-in-apulia,Olive Oil
grassy-narrows-and-whitedog-first-nations-mercury-poisoning-ont-canada,mercury
farmers-strike-for-food-sovereignty-in-bogota,Seeds
citadel-capital-sabina-and-al-nahda-for-integrated-solutions-irrigated-crops-in-white-nile-state-sudan,Sunflowers
citadel-capital-sabina-and-al-nahda-for-integrated-solutions-irrigated-crops-in-white-nile-state-sudan,Sorghum
resource-extraction-in-boucra-western-sahara-updated-by-julie-snorek-7-nov-2016,Phosphorus
resource-extraction-in-boucra-western-sahara-updated-by-julie-snorek-7-nov-2016,phosphates
pachon-argentina-chile,Molybdenum
rheebu-nuu,Nickel and Cobalt
nickel-mining-in-manicani-island,Nickel
chicomuselo-contra-blackfire-chiapas,Barita
nuclear-waste-storage-facility-in-rokkasho-aomori-japan,Plutonium 
explotacion-de-oro-aluvial-en-el-rio-madre-de-dios,Mercury
nuclear-waste-in-gastre-chubut-argentina,Nuclear waste
granadilla-port-in-tenerife-spain,Transport Services
shutangshan-village-chemical-factory-pollution-in-hunan-province,Allicin
shutangshan-village-chemical-factory-pollution-in-hunan-province,a liquid chemical commonly used as an additive in pig feed
shutangshan-village-chemical-factory-pollution-in-hunan-province,mainly composed of disulphide and trisulphide
lof-en-resistencia-cushamen-vs-benetton-y-la-represion-del-estado-nacional,Sheep. Wool
extraccion-de-jade-en-guatemala,Jade 
glencore-in-zambia,Cobalt
kingston-fossil-plant-harriman-tn,Coal Ash
jugohrom-jegunovce-air-pollution-macedonia,ferro-silicon
jugohrom-jegunovce-air-pollution-macedonia,silicon–chrome
jugohrom-jegunovce-air-pollution-macedonia,low carbon ferro-chrome and technical silicon  
proyecto-mande-norte-murindo-colombia,Molibdeno
tarahumaras-fight-against-deforestation-and-murder-of-isidro-baldenegro-chihuahua-mexico,Oak
glencore-xstrata-tampakan-copper-gold-project-south-cotabato,Other aggregate metals in the copper and gold ores.
kalpakkams-fast-breeder-reactor-india,Plutonium
contaminacion-de-la-presa-de-san-lucas-xochimilco-cdmx,Waste water
uranium-project,Phosphates 
asian-highway-infrastructure-project-karen-state-myanmar,Trade
asian-highway-infrastructure-project-karen-state-myanmar,transport
asian-highway-infrastructure-project-karen-state-myanmar,mobility
sagarmala,Transport services
puerto-galera-waste-dump-facility-may-relocate-indigenous-iraya-mangyan-families-philippines,Waste produced largely by closeby Tourism
demarcation-of-indios-land-in-the-serra-do-padeiro-brazil,Several Agricultural Crops And Unproductive Farms. 
farmers-use-loopholes-to-force-a-law-change-for-seeds-in-the-united-kingdom,Seeds
torianita-mining-in-amapa,Torianite
zimapan-waste-disposal-hidalgo-mexico,Industrial waste
phosphates-matam-senegam,phosphates
greenpeace-revealed-shenhuas-water-intensive-coal-chemical-projects-in-ordos-inner-mongolia,Diesel
greenpeace-revealed-shenhuas-water-intensive-coal-chemical-projects-in-ordos-inner-mongolia,naphtha
greenpeace-revealed-shenhuas-water-intensive-coal-chemical-projects-in-ordos-inner-mongolia,liquefied petroleum gas
greenpeace-revealed-shenhuas-water-intensive-coal-chemical-projects-in-ordos-inner-mongolia,crude phenol and industrial sulfur. [5] 
ev-battery-recycling-factory-zlotoryja-silesia-poland,Battieries
nuclear-waste-disposal-bure-france,Nuclear Waste
demeter-international-katondo-farm-project-bwabwata-national-park-in-mbukushu-district-namibia,Canola
la-reunion-coastal-road,Public transportation 
interoceanica-as-a-driver-of-deforestation-and-land-use-change-in-madre-de-dios-peru,"Transportation services
Papaya"
interoceanica-as-a-driver-of-deforestation-and-land-use-change-in-madre-de-dios-peru,Cacao
chronic-pollution-in-eloor-kerala-india,Rare earth processing waste
think-biotech-reforestation-concession,Acacia
talvivaara-mining-company,Nickel and Cobalt
the-a45-motorway,Transport services 
sultan-marshes-wetland-turkey,Reeds
caldag-nickel-mine-turkey,Nickel
