UID,other_commodities
gmos-in-catalunya-spain,"Genetically Modified Seeds
Gm Maize Mon810"
phosphate-fertilizer-plant-pollution-in-liuchong-village-hubei-province,phosphate fertilizer
huasco-petcoke-chile,Petcoke
exploratory-fracking-in-arquetu-cantabria-spain,Shale-Gas
sta-cruz-zambales-nickel-mining-impacts-sustainable-agriculture-and-fisheries,Nickel
opposition-against-controversial-amazon-route-of-transatlantic-railway-brazil-peru,Transport services
the-turow-coal-mine,Lignite and heavy metals (specially mercury).
congo-agricultureagrisa-farmland-in-malolo-congo,Cattle
congo-agricultureagrisa-farmland-in-malolo-congo,Chicken
congo-agricultureagrisa-farmland-in-malolo-congo,Timber
congo-agricultureagrisa-farmland-in-malolo-congo,And Others
taean-national-park-oil-spill-south-korea,Other sea foods 
dawei-sez-tanintharyi-region-myanmar,trade and logistics services
legal-recognition-of-creole-seeds-won-in-brazil,Seeds
legal-recognition-of-creole-seeds-won-in-brazil,beans and forage crops
pirquitas-amenaza-aguas-de-jujuy-argentina,Estaño (Tin)
desalination-plant-mamelles-beach-in-dakar-senegal,Loss of urban coast
natural-resource-exploitation-in-the-dead-sea-area,Minerals extracted from Dead Sea water such as calcium
natural-resource-exploitation-in-the-dead-sea-area,magnesium and potassiuls
pak-ze-aan-de-turnhoutsebaan-the-demand-for-a-less-car-centric-mobility-policy-in-antwerp,Disproportionate use of urban space by cars. The commodity causing the conflict is cars
pak-ze-aan-de-turnhoutsebaan-the-demand-for-a-less-car-centric-mobility-policy-in-antwerp,together with urban planning at the service of the cars.
ampliacion-de-carretera-en-tepoztlan-mexico,Transport services
environmental-threats-industrial-salmon-new-mining-concessions-in-chiloe-chile,Turba (peat) y Pompón (musgo Sphagnum)
environmental-threats-industrial-salmon-new-mining-concessions-in-chiloe-chile,
greenland-mineral-ltds-kuannersuit-kvanefjeld-rare-earth-uranium-project-greenland,Fluor
air-pollution-in-pittsburgh-pa,Raw Materials
manganese-mining-in-manggarai-east-nusa-tenggara-indonesia,Manganese
try-pheap-co-logging-operation-in-cambodia,Pepper
try-pheap-co-logging-operation-in-cambodia,Yellow Vine
chemical-hazard-conflict-over-the-metales-plant-at-otay-mesa-industrial-park-tijuana-mexico,Batteries
hanapepe-salt-ponds-threatened-by-growth-of-helicopter-operations,hanapepe salt
lonmin-south-africa,Platinum
sterrebos-cut-down-for-car-factory-expansion-the-netherlands,Vehicles
luangwa-community-forests-project-lcfp-redd,Tobacco
1-untreated-waste-water-dumped-by-chemical-plants-in-tengger-desert-inner-mongoliachina,Sodium sulfide
1-untreated-waste-water-dumped-by-chemical-plants-in-tengger-desert-inner-mongoliachina,aminoanisole
1-untreated-waste-water-dumped-by-chemical-plants-in-tengger-desert-inner-mongoliachina,o-phenylenediamine
1-untreated-waste-water-dumped-by-chemical-plants-in-tengger-desert-inner-mongoliachina,sulfur dyestuff
1-untreated-waste-water-dumped-by-chemical-plants-in-tengger-desert-inner-mongoliachina,sodium thiosulfate [4]; Printing and dyeing stuff [4]; Corn starch and glutamic acid [5]
lead-contaminations-of-population-by-metalosa-factory-bajos-haina-dominincan-republic,car batteries
programme-of-triangular-cooperation-for-developing-agriculture-in-the-tropical-savannahs-of-mozambique-prosavana,Other crops
sateri-jiujiang-fiber-co-ltd-viscose-plant-china,Viscose 
lead-paint-and-other-toxics-in-brooklyn-usa,Lead
chrome-rich-great-dyke-area-zimbabwe,Chrome
chrome-rich-great-dyke-area-zimbabwe,Platinum
tren-maya-mexico,Archaeological places
kaziranga-conflict-rhinos-and-poachers-assam-india,Conservation of rhinos
afectados-por-el-nemagon-nicaragua,Bananas
arcelormittal-tremendous-pollution-in-ukraine,Section
arcelormittal-tremendous-pollution-in-ukraine,concentrate
arcelormittal-tremendous-pollution-in-ukraine,coke
arcelormittal-tremendous-pollution-in-ukraine,sinter 
fukushima,One of the reactors used MOX fuel
fukushima,with plutonium. 
bangka-belitung-mining,Tin
waste-incineration-fuelled-cement-plant-in-cordoba-spain,"Cement
Plastic Materials (Especially From Intensive Agriculture)
Hospital Waste
Sewage Sludge
Tyres
Solid Urban Waste"
seoul-informal-waste-collectors,Cardboard (also referred to as wastepaper)
sand-iron-mining-in-kulonprogo-indonesia,Iron sand mining
sand-iron-mining-in-kulonprogo-indonesia,also other minerals (titanium
sand-iron-mining-in-kulonprogo-indonesia,vanadium)
xianghe-chemical-factory-in-liuyang-hunan-china,Cadmium; Indium
granitequarrying-capbreton-novascotia-canada,Granite
shortage-of-water-in-gawadar,Transport services
phosphorite-mining-estonia,Phosphates
phosphorite-mining-estonia,potential for rare earths 
national-hazardous-waste-treatment-center-bulgaria,Hazardous Waste
national-hazardous-waste-treatment-center-bulgaria,Toxic Waste
high-speed-train-bangkok-nakhon-ratchasima,Passenger transportation
raj-west-power-ltd-barmer-rajasthan-india,Lignite
sanya-hongtangwan-international-airport-hainan-china,transportation services
sanya-hongtangwan-international-airport-hainan-china,Chinese white dolphin
amungme-against-freeport-mcmoran-indonesia,Molybdenum
minera-san-rafael-el-valle-dominican-republic,Agregados-Áridos
baigas-claim-to-right-to-land-forest-and-forest-resources-and-fight-against-state-violence-in-chhattisgarh-india,Forest resources
jieh-power-plant-oil-spill-lebanon,"war conflict- land occupation 
Public Health "
taksim-square-and-gezi-park-construction-works-turkey,Trees
taksim-square-and-gezi-park-construction-works-turkey,Green Areas
taksim-square-and-gezi-park-construction-works-turkey,Urban Park
sanyou-chemical-fibre-viscose-factories-china,Viscose 
the-jilin-chemical-plant-explosions-songhua-river-pollution-incident, Aniline
the-jilin-chemical-plant-explosions-songhua-river-pollution-incident,benzene and nitrobenzene 
jiujiang-jinyuan-chemical-fiber-co-ltd-viscose-plant-china,Viscose (rayon)
opposition-to-overfishing-and-seabed-mining-based-on-raui-principals-cook-islands-new-zealand, Magnesium
oba-airport-site-land-conflict-and-sand-ming,laterite
oba-airport-site-land-conflict-and-sand-ming,clay
delong-nickel-industrial-area-indonesia,Nickel
nuclear-debate-in-sri-lanka,Thorium
phosphate-mining-in-gafsa,Phosphate
desert-sunlight-solar-farm-550-mw-pv-california-usa,Solar Photovoltaic
copper-nickel-projects-inari-finland,Nickel
calcite-mining-in-nimmalapadu-village-ap-india,Calcite
calcite-mining-in-nimmalapadu-village-ap-india,Magnesium
kropz-phosphate-mine-in-west-coast-national-park-elandsfontein-south-africa,Phosphate
yoshima-thermal-power-station-iwaki-city-fukushima-japan,Wood pellets
chitwan-national-park-nepal-a-resource-use-rights-conflict,Non-timber Forest Produce (NTFP)
residents-protest-against-foul-air-in-weiyuan-county-sichuan-china,porcelain
residents-protest-against-foul-air-in-weiyuan-county-sichuan-china,coal gas
illegal-animal-traficking-iraq,Cobalt
sakatti-mine,Cobalt
sakatti-mine, Nickel
grassroots-seed-conservation-movement-in-greece,Seeds
henan-xinxiang-hongda-paper-industry-co-ltd-causing-water-pollution-china,paper
henan-xinxiang-hongda-paper-industry-co-ltd-causing-water-pollution-china,pulp
henan-xinxiang-hongda-paper-industry-co-ltd-causing-water-pollution-china,paperboard
shintech-pvc-plant-in-the-cancer-alley-usa,Pvc
contaminacion-por-el-botadero-kara-kara-bolivia,Residuos sólidos
contaminacion-por-el-botadero-kara-kara-bolivia,llantas (tyres)
port-expansion-in-la-punta-valencia-spain,Transport Services
port-expansion-in-la-punta-valencia-spain,Logistical Services
wackersdorf-nuclear-reprocessing-plantg-baviera-germany,Plutonium
la-calanque-de-port-miou-and-the-solvay-company-marseille-france,Limestone.  Caustic Soda. 
thermal-power-plant-stanari,Lignite (brown coal)
stone-mining-killing-a-river,Stones
contaminacion-por-empresa-de-cementos-en-selva-alegre-ecuador,Cal
division-salvador-bahia-de-chanaral,Molibdeno
bronx-river-greenway,real estates and urban spaces
logistics-hub-trans-shipment-port-in-portland-bight-jamaica,Transport services 
estonias-shale-oi-estonia,Oil shale
vedanta-and-konkola-zambia,Cobalt
petrochemical-complex-in-itaborai-rio-de-janeiro-brazil,Plastics And Other Petrochemical Products
slave-and-forced-labor-in-seafood-industry-thailand,Other types of seafood
deforestacion-en-loreto-y-ucayali-por-grupo-melka,Cacao
socotra-island-military-takeover-by-uae-amid-climate-change-woes,Endemic species
socotra-island-military-takeover-by-uae-amid-climate-change-woes,UNESCO World Heritage
kylylahti-mine,Cobalt and Nickel
contaminacion-ambiental-en-la-huaca-por-quema-de-cana-peru,Caña
titanium-mining-in-thuan-nam-district-ninh-thuan-province-vietnam,Titanium-Zircon Ore
islanders-resisting-nickel-mining-permits-wawonii-southeast-sulawesi-indonesia,Nickel
sakhon-nakhon-potash-mine,Potash
taiji-wakayama-prefecture-dolphin-hunting-conflicts-with-anti-whaling-organizations-like-sea-shepard,Dolphins to be butchered for meat or also
taiji-wakayama-prefecture-dolphin-hunting-conflicts-with-anti-whaling-organizations-like-sea-shepard,some of them
taiji-wakayama-prefecture-dolphin-hunting-conflicts-with-anti-whaling-organizations-like-sea-shepard,for export for aquariums.
vaike-oismae-park-housing-area,Expansion of roads for motor traffic
indigenous-communities-of-rio-negro-divided-over-mining-regularization-and-affected-by-commercial-cooptation-and-illegal-mining,Niobium; Tantalite
standard-gauge-railway-project-from-mombasa-to-nairobi-kenya,Transport services
marina-de-valdecanas-extremadura-spain,Hotels
marina-de-valdecanas-extremadura-spain,golf courses
marina-de-valdecanas-extremadura-spain,marina services
marina-de-valdecanas-extremadura-spain,vacation houses
amarawewa-forest-clearing-for-biofuel-sri-lanka,Gliricidia
sadr-city-radioactive-waste-iraq,Scrap metal
gungormez-and-bahcekoy-quartzite-mine,Quartzite
gungormez-and-bahcekoy-quartzite-mine,Feldspat
oil-leak-in-mauritus-islands-is-threatenind-nature-and-local-peoples-health,Diesel 
busanga-dam-on-lualaba-river-drc,Cobalt
white-mesa-uranium-mill-utah-usa,Vanadium
brad-polymetallic-ores-including-gold,polymetallic ores
lead-poisoning-caused-by-jiaozuo-oriental-gold-and-lead-co-ltd-henan-china,sulfuric acid 
seeds-and-the-grey-areas-of-the-european-law-in-austria,Seeds
hindustan-unilever-thermometer-factory-kodaikanal-tamil-nadu-india,Medical equipment (Thermometers)
a2-motorway-portugal,Transport services
thermal-power-plants-in-sapeacu-brazil,Fuel Oil For Thermoelectric Plants
violations-of-the-cano-tiburones-reserve,Sugar Cane
ogms,GMO food and products
nuclear-waste-storage-in-scanzano-jonico,Anthropogenic radionuclides:  55Fe
nuclear-waste-storage-in-scanzano-jonico,60Co
nuclear-waste-storage-in-scanzano-jonico,59Ni
nuclear-waste-storage-in-scanzano-jonico,39Ar
nuclear-waste-storage-in-scanzano-jonico,94Nb
nuclear-waste-storage-in-scanzano-jonico,3H
nuclear-waste-storage-in-scanzano-jonico,14C
nuclear-waste-storage-in-scanzano-jonico,41Ca
nuclear-waste-storage-in-scanzano-jonico,152Eu
nuclear-waste-storage-in-scanzano-jonico,154Eu
nuclear-waste-storage-in-scanzano-jonico,241Am
nuclear-waste-storage-in-scanzano-jonico,238Pu
nuclear-waste-storage-in-scanzano-jonico,239Pu
nuclear-waste-storage-in-scanzano-jonico,240Pu
nuclear-waste-storage-in-scanzano-jonico,242Cm
nuclear-waste-storage-in-scanzano-jonico,244Cm
nuclear-waste-storage-in-scanzano-jonico,233U
nuclear-waste-storage-in-scanzano-jonico,234U
nuclear-waste-storage-in-scanzano-jonico,235U
nuclear-waste-storage-in-scanzano-jonico,238U
nuclear-waste-storage-in-scanzano-jonico,232Th
nuclear-waste-storage-in-scanzano-jonico,237Np
shukruti-georgian-manganese,Manganese
new-1500-acre-site-proposed-for-nuclear-waste-storage-in-south-bruce-ontario,used nuclear fuel bundles
dangerous-changes-in-the-gmo-law-serbia,GMOs 
khoudiadienne-sephos-senegal,phosphates alumino-calciques 
khoudiadienne-sephos-senegal,phosphoric rock
nitta-gelatin-india-ltd-ngil-india,Gelatin
nitta-gelatin-india-ltd-ngil-india,Ossein
nitta-gelatin-india-ltd-ngil-india,Di Calcium Phosphate And Collagen Peptide
expansion-de-andina-244-chile,Molibdeno
cementera-en-los-haitises-republica-dominicana,Limestone
air-pollution-from-the-brick-ctofary-ciglana-spremo-serbia,Bricks
lgv-bordeaux-spain-northern-basque-country-france,Transportation Services
pcb-contamination-in-warren-county-usa,Polychlorinated Biphenyls
nagaragawa-dam,freshwater clams
kochi-paper-pulp-dispute-japan,Paper
closure-and-modernisation-of-old-nickel-and-copper-smelter-monchegorsk-kola-peninsula-russia,Nickel
closure-and-modernisation-of-old-nickel-and-copper-smelter-monchegorsk-kola-peninsula-russia,Cobalt
43-miners-died-in-kamoto-mine,Cobalt 
chota-nagpur-conflict-jharkhand-india,Teak
potassium-mining-sinkholes-in-berezniki-russia,Potassium
contaminacion-por-relaves-mineros-en-el-rio-pilcomayo-bolivia,Tin
tendele-coal-mine-somkhele-kwazulu-natal,Anthracite
tendele-coal-mine-somkhele-kwazulu-natal,a pure form of coal
gyeongju-nuclear-waste-site-south-korea,Nuclear Waste
phosphate-mining-project-in-lavras-do-sul-rio-grande-do-sul-brazil,Phosphate and limestone
air-pollution-and-nuisance-in-the-area-of-schiphol-airport-and-amsterdam,Transport Services 
infravest-windenergy-taiwan,Biogas
hukaung-valley-hotspot-kachin-state-myanmar,Cassava
advance-agro-plantations-thailand,Pulp And Paper
sinar-mas-app-groups-forestry-pulp-paper-integrated-project-in-yunnan,Pulp and Paper
marcventures-mining-operations-in-cantilan-surigao-del-sur-philippines,nickel ore
waste-dumping-and-burning-in-adana-turkey,Plastic
villaggio-turistico-di-forti-porto-tolle,Pequeños límites compresibles
villaggio-turistico-di-forti-porto-tolle,lodos de perforación y perforación
villaggio-turistico-di-forti-porto-tolle,patadas de defecación
villaggio-turistico-di-forti-porto-tolle,conglomerado bituminoso
villaggio-turistico-di-forti-porto-tolle,escoria de acero
villaggio-turistico-di-forti-porto-tolle,putas de dreñeggio palable no dañino dañino
uralita-in-cerdanyola-catalonia-asbestos-spain,Fibrocemento
high-speed-two-railway-united-kingdom,Transportation Services
fungicides-in-banana-plantations-in-davao,Banana
pt-inti-indorayon-utama-eucalyptus-plantation-conflict-sumatra-indonesia,Acacia
portland-harbor-superfund-site,Ship building
nickel-ore-exploration-mining-trstenik-serbia,Nickel ore
deva-muncel-gold-polymetallic-ores-exploitation,polymetallic ores
afectadas-por-el-nemagon-costa-rica,Bananas
delhi-mumbai-industrial-corridor,Forest
delhi-mumbai-industrial-corridor,Public services etc
deep-sea-port-and-airport-on-kalagote-island,sea
caffaro-contamination-in-brescia,Polychlorinated biphenyls - PCBs
world-tristar-entertainment-land-grab-in-the-koh-sla-region-kampot-cambodia,rosewood
huichapan-waste-incineration-in-cemex-factory-hidalgo,Industrial waste
copper-nickel-mining-in-voronezh-russia,Nickel
protest-against-chinese-companies-to-build-elevated-railways-hinder-animal-migrationnairobi-kenya,Railway
pak-bara-deep-sea-port-project-thailand,Coastal area
controversy-over-planned-paraxylene-px-plant-in-xiamen-fujian-china,Paraxylene
burgos-bnk-petroleum,Shale gas and oil
cordillera-azul-national-park-canp-peru,"Coca
Cacao"
c-excessive-blood-lead-of-workers-of-ricun-battery-technology-in-changzhou-jiangsu-china,batteries
senegal,le bois teck
clustering-of-waste-facilities-in-chester-usa,Medical Waste
diogo-zircon-mining-niayes-senegal,Sand minerals - zircon
diogo-zircon-mining-niayes-senegal,ilmenite
diogo-zircon-mining-niayes-senegal,rutile
diogo-zircon-mining-niayes-senegal,leucoxene.
high-speed-train-basque-country-spain,Transportation Services
resisting-free-trade-agreements-to-protect-local-seeds-thailand,Seeds
lead-poisoning-near-huaqiang-battery-factory-china,Batteries
dragado-de-los-corales-gamines-por-el-proyecto-canal-alterno-en-la-bahia-de-cartagena,Vias de transporte de barcos de gran calado
parque-nacional-natural-tayrona-colombia,Infraestructura Hotelera
yeongheung-coal-plant-south-korea,Bituminous coal
yokkaichi-asthma-japan,Petrochemical industry
hamlet-and-enviva,Wood pellets
kyaukpyu-special-economic-zone,Industrial services
complexo-industrial-portuario-de-suape-cips-pernambuco-brazil,Transport facilities 
holcim-incineracion-y-desechos-solidos-el-salvador,Tyres
tikul-a-y-b,Solar energy
mining-and-murders-on-indigenous-land-in-san-teodoro-mindoro-oriental-philippines,Chromite
mining-and-murders-on-indigenous-land-in-san-teodoro-mindoro-oriental-philippines,nickel [5]
vinto-fundidora-de-antimonio-y-estano-bolivia,"Antimonio
Estaño (Tin)"
ambler-mining-project-northwest-arctic-alaska-us,Cobalt
bauxite-mining-in-cockpit-country-jamaica,silica and limestone 
ozbek-village-stone-quarry-construction-turkey,Construction Materials Such As Stone
ozbek-village-stone-quarry-construction-turkey,Stone Chips Etc. 
tapeba-indians-threatened-by-companies-and-public-policies-in-caucaia-ceara-brazil,Clay
traditional-communities-against-pollution-of-leather-industry-in-belem,Leather 
save-the-forest-of-rades-tunisia,Transport services
tridaine-water-spring-la-boverie-quarry,calcareous material (lime)
tablistas-contra-la-destruccion-de-playas-en-lima,Beach surfing
red-tide-in-nanko-south-lake-of-lake-biwa,Phosphorus
red-tide-in-nanko-south-lake-of-lake-biwa,Nitrogen
karonsie-dongi-people-and-vale-mine-in-sorowako-sulawesi-indonesia,Nickel
ivanplats-platreef-mine-in-mokopane-south-africa,Platinum. Nickel. Palladium.
cementerio-nuclear-cader-en-temascalapa-estado-de-mexico,Radioactive waste
son-la-hydropower-dam-vietnam,Irrigation
hinuguruellapitiya-quarries,Rock
movilizaciones-del-gas-protest-against-industrial-pollution-in-erandio-basque-country,"Paint
Resins
Sulphuric acid"
fishers-protest-destruction-of-mangroves-in-ennore-india,Transport 
second-airport-in-jeju-south-coast-of-south-korea,Transport services
second-airport-in-jeju-south-coast-of-south-korea,military services
smart-growth-issues-in-west-oakland,Urban property
smart-growth-issues-in-west-oakland,affordability
smart-growth-issues-in-west-oakland,public health
enbridge-northern-gateway-pipeline-canada,Bitumen
tenke-fungurume-deposit-democratic-republic-of-congo,Cobalt
stade-des-lumieres-ol-land-decines-france,Leisure Services
lead-poisoning-by-jiangsu-chunxing-pizhou-china,lead-acid batteries
law-to-ban-bullfighting-in-catalunya-spain,"Bulls
Entertaiment"
tamaqua-borough-passes-ordinance-on-rights-of-nature,Toxic waste
shark-finning-o-aleteo-en-costa-rica,Shark Finns 
saudi-star-agriculture-and-irrigation-project-in-gambela-ethiopia,Other - Teff
saudi-star-agriculture-and-irrigation-project-in-gambela-ethiopia,Oilseed
saudi-star-agriculture-and-irrigation-project-in-gambela-ethiopia,Sunflowers
betty-carino-oaxaca-mexico,Minerals
ronnbacken-nickel-mine-vasterbotten-sweden,Nickel
ronnbacken-nickel-mine-vasterbotten-sweden,Cobalt
ronnbacken-nickel-mine-vasterbotten-sweden,Magnetite
rio-tuba-mining-corporation,Nickel. Cobalt.
comunidades-rechazan-expansion-de-mina-marlin-en-huehuetenango-guatemala,Chrome
comunidades-rechazan-expansion-de-mina-marlin-en-huehuetenango-guatemala,Nickel
comunidades-rechazan-expansion-de-mina-marlin-en-huehuetenango-guatemala,Cobalt and Antimony. 
kynnefjall-nuclear-waste-storage-bohuslan-sweden,Nuclear Waste
cerro-verde-arequipa-peru,Molybdenum
cagayan-black-sand-mining-in-shore-area,Magnetite sand
series-of-oil-spills-from-the-conocophillips-and-cnooc-fields-at-bohai-bay-china,Aquaculture products
las-bambas-peru,Concentrado de Molibdeno
loliondo-land-vs-tourism-conflict-tanzania,Animals
loliondo-land-vs-tourism-conflict-tanzania,As Hunting Is One Of The Activities In The Disputed Area.
unemployed-movement-in-ouargla,Shale gas
heilongian-beidahuang-in-rio-negro-argentina,Rape Seed
heilongian-beidahuang-in-rio-negro-argentina,vineyards
heilongian-beidahuang-in-rio-negro-argentina,feed 
eni-green-chemistry-project-in-porto-torres,Thistle
baia-mare,pyrites
shells-toxic-legacy-in-curacao,Heavy metals
mezica-valley-slovenia,Zinc
antipollution-protests-against-local-solar-panel-manufacturers-quanzhou-fujian-china,Copper indium gallium selenide solar cells
panchgaon-maharashtra,Bamboo
panchgaon-maharashtra,wood
panchgaon-maharashtra,biomass for grazing
agribusiness-affecting-indigenous-tremembe-in-ceara,Coconut
fortress-conservation-poaching-and-logging-threatens-mbendjele-communities-republic-of-the-congo,poaching
universidad-nur,Nickel 
aliaga-industrial-conflicts-turkey,Toxic Waste
commerical-mining-protected-areas-of-renca-para-amapa-brazil,"Tantalum
Manganese"
capeco-caribbean-petroleum-company,jet fuel
capeco-caribbean-petroleum-company,gasoline
vale-mining-in-voisys-bay-labrador,"Nickel,
Cobalt"
nuclear-waste-taiwan,Nuclear waste
rospuda-valley,Transport infrastructure
rospuda-valley,plant and animal species
rospuda-valley,peatland ecosystem
industrial-complex-in-pontevedra-spain,"Elnosa - Production Of Chlorine And Derivates

Ence - Paper & Pulp & Energy"
proyecto-de-mineria-submarina-don-diego-es-denunciado-por-pescadores-artesanales,Phosphorus
fourth-belt-b40,Transport services 
monocultivo-de-quinua-en-oruro,Quinua
selaulim-dam-goa-india,Manganese
protest-against-gaoqiao-paraxylene-px-plant-relocating-in-jinshan-shanghai-china,PX - paraxylene
media-campaigns-to-save-the-linda-potato-germany,Seeds
arsenic-poisoning-morinada-milk-japan,Poisoned milk
stone-crushing-machine-sylhet,Stone
stone-crushing-machine-sylhet,building material
urban-development-project-in-maro-malaga-spain,landscape 
emelle-nations-largest-hazardous-waste-landfill-usa,Chemical Waste And Hazardous Materials
salvem-salau-stop-mine-salau1,Tungsten
atlantico-sul-shipyard-pernambuco-brazil,Transport services
atlantico-sul-shipyard-pernambuco-brazil,ship construction
arcelormittal-steel-production-factory-zenica-bosnia-and-herzegovina,Central heating
jingxin-pharmaceutical-factory,medicine
frinds-of-amager-faelled,Infrastructure
frinds-of-amager-faelled,housing
philippine-farmworkers-poisoned-by-dbcp-pesticide,Banana
reopening-of-takahama-nuclear-plants-3-and-4,Plutonium 
bafokeng-platinum-mine-south-africa,"Platinum
"
glencore-katanga-mining-ltd-in-the-democratic-republic-of-congo-drc,Cobalt
mining-of-building-materials-and-quarry-treat-indigenous-pitaguary, crushed stone 
field-report-209-abandoned-tin-mines-endanger-communities,Tin
johnson-controls-lead-processing-kangqiao-shanghai-china,Batteries
severe-water-pollution-at-taihu-lake-jiangsu-china,toxic waste from industrial waste
severe-water-pollution-at-taihu-lake-jiangsu-china,urban sewage and chemical fertilisers
the-fujia-petrochemical-paraxylene-px-plant-protest-in-dalian-liaoning-china,Paraxylene
soda-ash-mining-in-lake-natron-tanzania,Soda Ash
kitchenuhmaykoosib-inninuwug-peoples-against-platinum-exploration-by-platinex-inc-ontario-canada,Platinum
kitchenuhmaykoosib-inninuwug-peoples-against-platinum-exploration-by-platinex-inc-ontario-canada,palladium and rhodium
the-bridge-over-the-strait-of-messina,transport services
waste-incineration-plant-near-wroclaw-lower-silesia-poland,Heat
extraccion-de-litio-en-el-salar-de-uyuni-bolivia,Lithium carbonate and potassium chloride
barra-grande-dam-on-river-pelotas-brazil,Biodiversity
waste-incineration-fuelled-cement-plant-in-morata-de-tajuna-spain,"Plastic Materials
Hospital Waste
Sewage Sludge
Tyres"
contaminacion-por-quema-de-cana-de-azucar-en-nueva-esperanza-peru,Caña
decommissioning-of-the-heliopolis-neighbourhood-tram-line1,Public transport services
decommissioning-of-the-heliopolis-neighbourhood-tram-line1,Fossil vehicle fuel
usa-mobile-user-objective-system-muos-in-niscemi-italy,Communications services
mawchi-tungsten-mine-karenni-state-myanmar,Tin; Tungsten (wolfram)
lafarge-limestonemining-Meghalaya,Limestone
pt-indo-bharat-rayon-viscose-factory-indonesia,viscose staple fibre
pt-indo-bharat-rayon-viscose-factory-indonesia,anhydrous sodium sulphate
pt-indo-bharat-rayon-viscose-factory-indonesia,sulphuric acid.
fatty-oil-and-caustic-soda-spill-in-msunduzi-river-kwazulu-natal-south-africa,Fatty oils
fatty-oil-and-caustic-soda-spill-in-msunduzi-river-kwazulu-natal-south-africa,caustic soda
maruti-suzuki-gujarat-plant-india,Car Manufacturing (Particularly Small Cars)
caserones-chile,Molibdeno
a51-highway-extension-trieves-france,Transport service
killing-of-19-year-old-lumad,Chromium [3]
new-zimbabwe-steel-river-pollution-kwekwe-zimbabwe,Steel
mineria-de-litio-en-el-salar-de-olaroz-cauchari-argentina,Potassium
mineria-de-litio-en-el-salar-de-olaroz-cauchari-argentina,borono.
access-to-green-space-in-los-angeles-usa,Green Space
pingnan-pollution-case,Potassium chlorate
lack-of-clean-water-in-central-valley-ca-usa,Dairy production
lack-of-clean-water-in-central-valley-ca-usa,agricultural products
ho-chunk-tribal,Frac sand
enchroachment-on-mau-forests-complex-kenya,Indigenous Forests
granite-extraction-in-karoonjhar-mountain-in-sindh-pakistan,Granite
antarctic-ocean-sanctuary-argentine-chile-and-the-uk-antarctica,Krill
morococha-displacement-toromocho-project-peru,Molibdeno
indonesia-morowali-industrial-park-imip1,Nickel and cobalt
silawathurei-mass-scale-cashew-plantation-project, Cashew
cerro-matoso-colombia,Nickel Ferronickel
tabio-rio-frio-mining-activities-colombia,Grava
tabio-rio-frio-mining-activities-colombia,Material De Construcción
acueducto-independencia-hermosillo-sonora,-0
coltan-parque-nacional-puinawai-colombia,Coltan
coltan-parque-nacional-puinawai-colombia,Columbita
coltan-parque-nacional-puinawai-colombia,Tantalita
coltan-parque-nacional-puinawai-colombia,Tugsteno.
barbuda-new-airport,limestone
kushinagar-international-airport-up-india,Airport expansion. Pilgrimage.
resistance-to-chevron-ypf-fracking,Shale oil
avenue-royale-casablanca-morocco,Housing
incineration-of-hospital-and-industrial-waste-in-camargos-mg-brazil,Biomedical And Health Care Waste
agip-endless-spills-in-emago-kugbo-edema-and-otuabagi-nigeria,Unknown
fish-processing-plant-senegal,Fishmeal
fish-processing-plant-senegal,fish oil.
makwa-initiative-frontline-resistance-against-enbridges-line-3-replacement-project,Tar Sands Crude Oil: Diluted Bitumen
makwa-initiative-frontline-resistance-against-enbridges-line-3-replacement-project,other types of heavy oil
makwa-initiative-frontline-resistance-against-enbridges-line-3-replacement-project,and light crude oil 
extraccion-de-materiales-cemex-payande-colombia,Arcilla ferruginosa
extraccion-de-materiales-cemex-payande-colombia,caliza y puzolana
bribri-mineria-costa-rica,Nickel
bribri-mineria-costa-rica,Molybdenum
law-enforcers-grab-childrens-park-bangladesh,Public spaces
accras-agbogbloshie-electronic-waste-dump,Natural Hazard Prevention
meiningen-deep-geothermal-energy,Geothermal energy
mainland-mine-manakara-madagascar,Zircon and Rutile
pindeco-pineapple-development-corporation-del-monte-costa-rica,Pineapple
